day,newcases,tests
03/09/2020,0,0
03/10/2020,1,44
03/11/2020,1,28
03/12/2020,6,72
03/13/2020,3,43
03/14/2020,2,70
03/15/2020,2,31
03/16/2020,4,67
03/17/2020,5,66
03/18/2020,10,86
03/19/2020,15,79
03/20/2020,6,126
03/21/2020,15,132
03/22/2020,14,126
03/23/2020,25,138
03/24/2020,59,229
03/25/2020,24,309
03/26/2020,30,282
03/27/2020,51,724
03/28/2020,34,536
03/29/2020,50,447
03/30/2020,32,442
03/31/2020,30,550
04/01/2020,33,674
04/02/2020,40,606
04/03/2020,58,749
04/04/2020,21,658
04/05/2020,22,580
04/06/2020,27,549
04/07/2020,5,604
04/08/2020,15,692
04/09/2020,28,571
04/10/2020,14,589
04/11/2020,22,562
04/12/2020,19,587
04/13/2020,21,590
04/14/2020,33,722
04/15/2020,42,793
04/16/2020,42,710
04/17/2020,2,692
04/18/2020,13,766
04/19/2020,5,1189
04/20/2020,17,878
04/21/2020,8,696
04/22/2020,9,550
04/23/2020,4,438
04/24/2020,17,559
04/25/2020,10,410
04/26/2020,18,263
04/27/2020,8,396
04/28/2020,5,585
04/29/2020,14,895
04/30/2020,4,569
05/01/2020,11,529
05/02/2020,4,351
05/03/2020,5,447
05/04/2020,4,351
05/05/2020,3,390
05/06/2020,1,412
05/08/2020,4,1453
05/09/2020,2,1877
05/10/2020,0,292
05/11/2020,0,448
05/12/2020,0,614
05/13/2020,0,443
05/14/2020,0,2200
05/15/2020,3,443
